location,year,income
Khlong Lan,2017,8519110
Khlong Wang Chao,2017,1243765
Mae Wong,2017,3619415
Khun Chae,2017,59550
Phu Sang,2017,965870
Mae Puem,2017,47165
Doi Luang,2017,766720
Doi Phu Nang,2017,241020
Doi Inthanon,2017,72674788
Doi Suthep - Pui,2017,14540570
Si Lanna,2017,2787860
Ob Luang,2017,1391040
Doi Phahompok (Doi Fhahompok),2017,7642555
Pha Daeng (Chiang Dao),2017,1151695
Mae Wang,2017,1718750
Khun Khan,2017,20595
Huai Nam Dang,2017,15463825
Mae Ping,2017,869410
Lan Sang,2017,1903255
Taksin Maharat,2017,2945210
Mae Moei,2017,886180
Khun Pha War,2017,526215
Doi Phu Kha,2017,3451505
Si Nan,2017,4572700
Mae Charim,2017,292095
Khun Nan,2017,262165
Tham Sa Koen,2017,4000
Namtok Chat Trakan,2017,643835
Thung Salaeng Luang,2017,3994245
Phu Hin Rong Kla,2017,16493963
Phu Soi Dao,2017,1172235
Khao Kho,2017,767440
Tat Mok,2017,378150
Nam Nao,2017,3470820
Doi Pha Klong,2017,139930
Wiang Kosai,2017,826085
Mae Yom,2017,232705
Lam Nam Nan,2017,895840
Namtok Mae Surin,2017,597310
Salawin,2017,59830
Tham Pla - Namtok Pha Suea,2017,1633910
Chae Son,2017,12400965
Mae Wa,2017,113330
Doi Khun Tan,2017,785110
Ramkhamhaeng,2017,1953765
Si Satchanalai,2017,612060
Ton Sak Yai (Khlong Tron),2017,33760
